Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SBL,3/28/2022,405,405,393.3,395,-0.75,42554
SBL,3/29/2022,396,398,393,395,0,26739
SBL,3/30/2022,396,398,392.1,397,0.51,41942
SBL,3/31/2022,400,403,395,399,0.5,56066
SBL,4/3/2022,403,403,395,396,-0.75,32499
SBL,4/4/2022,403.9,403.9,393,396,0,35593
SBL,4/5/2022,403.9,403.9,389,392,-1.01,75026
SBL,4/6/2022,388,392,385,386.9,-1.3,38829
SBL,4/7/2022,389,397.9,386.1,395,2.09,47077
SBL,4/11/2022,402,410,392.1,395,0,53861
SBL,4/12/2022,389.9,395,389.5,393,-0.51,32157
SBL,4/13/2022,393,398.9,390,395,0.51,29042
SBL,4/17/2022,402.9,402.9,389,392,-0.76,31456
SBL,4/18/2022,398,398,388,388.3,-0.94,32142
SBL,4/19/2022,396,400,386,400,3.01,48613
SBL,4/20/2022,408,408,389,395,-1.25,108344
SBL,4/21/2022,391.2,398,388,392,-0.76,28318
SBL,4/24/2022,399,402,395.2,402,2.55,27519
SBL,4/25/2022,406,406.7,397,397,-1.24,27935
SBL,4/26/2022,398,402,392,399,0.5,106362
SBL,4/27/2022,395,399,394,398,-0.25,17927
SBL,4/28/2022,405.9,405.9,392.5,393,-1.26,21520
SBL,5/2/2022,394,396,385.4,387,-1.53,27540
SBL,5/4/2022,394.7,394.7,378.1,383,-1.03,21198
SBL,5/5/2022,380,382,378,380,-0.78,50245
SBL,5/8/2022,384,384,374,381,0.26,19898
SBL,5/9/2022,388.6,388.6,379,382,0.26,43943
SBL,5/10/2022,389,390,384,389,1.83,37090
SBL,5/11/2022,395,397,392,396.6,1.95,14681
SBL,5/12/2022,400,401,395,396,-0.15,33703
SBL,5/17/2022,392,392,388,388,-2.02,18805
SBL,5/18/2022,393,393,382,386.1,0,8398
SBL,5/19/2022,383.7,391,383.7,385,-0.28,24289
SBL,5/20/2022,385,387,383,383,-0.52,10244
SBL,5/23/2022,390.6,390.6,374,377,-1.57,31599
SBL,5/24/2022,384.5,384.5,376,382,1.33,21162
SBL,5/25/2022,389.6,389.6,377,386,1.05,29132
SBL,5/26/2022,393.7,393.7,382.1,385,-0.26,18820
SBL,5/27/2022,385,385,378,382,-0.78,38462
SBL,5/30/2022,389.6,389.6,374,376.6,-1.41,19999
SBL,5/31/2022,370,375,366,366,-2.81,39251
SBL,6/1/2022,372,372,364,367,0.27,22933
SBL,6/2/2022,374,374,361.7,365,-0.54,29420
SBL,6/3/2022,372.3,372.3,355,355,-2.74,42357
SBL,6/6/2022,360,360,343,347,-2.25,60191
SBL,6/7/2022,345,345,329,335.5,-3.31,51710
SBL,6/8/2022,340,347,336,338,0.75,41783
SBL,6/9/2022,344.7,346.9,337.4,338,0,26454
SBL,6/10/2022,344.7,344.7,331.5,336,-0.59,9361
SBL,6/13/2022,342.7,342.7,330,334,-0.6,20729
SBL,6/14/2022,333,333,326,328,-1.8,24892
SBL,6/15/2022,334.5,334.5,315.6,319,-2.74,29081
SBL,6/16/2022,315.2,327,315.2,318,-0.31,37095
SBL,6/17/2022,316,325,315.1,316,-0.63,31244
SBL,6/19/2022,320,320,309,310,-1.9,21747
SBL,6/20/2022,309,309.9,304,306,-1.29,45892
SBL,6/21/2022,309,323.3,305,323.3,5.65,39395
SBL,6/22/2022,320,323,309.2,309.7,-4.21,36827
SBL,6/23/2022,303.6,312,299,310,0.1,70234
SBL,6/24/2022,305,310,298.2,307,-0.97,83733
SBL,6/26/2022,312.9,320,308,320,4.23,90805
SBL,6/27/2022,322,325,310,312,-2.5,35290
SBL,6/28/2022,312,316.5,306,313,0.32,18396
SBL,6/29/2022,318.9,318.9,310,315,0.64,19455
SBL,6/30/2022,318,325,315.3,321.9,2.19,49877
SBL,7/1/2022,322,322,311.7,312,-3.08,43304
SBL,7/3/2022,308,324.5,308,316,1.28,40636
SBL,7/4/2022,320,325,314,315,-0.32,94323
SBL,7/5/2022,310,320,306,306,-2.86,45515
SBL,7/6/2022,308,310,300,309,0.98,35158
SBL,7/7/2022,315.1,315.1,303,311,0.65,34052
SBL,7/8/2022,306,309,304,305.6,-1.74,26338
SBL,7/11/2022,304,304.9,290.1,291,-4.78,93067
SBL,7/12/2022,294,295,288.2,289,-0.69,63851
SBL,7/13/2022,294,295,289,294,1.73,137903
SBL,7/14/2022,299.8,305.7,296,298.6,1.56,44218
SBL,7/15/2022,298.1,303.9,298,303,1.47,61618
SBL,7/17/2022,303,309.9,300,309.9,2.28,45999
SBL,7/18/2022,309.9,315,308,315,1.65,52175
SBL,7/19/2022,316,320,312,314,-0.32,50452
SBL,7/20/2022,312.1,318.2,312,315.4,0.45,25318
SBL,7/21/2022,315.5,318,311.3,315,-0.13,45220
SBL,7/22/2022,317,317.7,310.1,315,0,64161
SBL,7/24/2022,315,318,310,318,0.95,50944
SBL,7/25/2022,321,324,318,321,0.94,62045
SBL,7/26/2022,319.9,324,312.2,313,-2.49,44062
SBL,7/27/2022,315.1,315.1,310.1,313,0,15160
SBL,7/28/2022,317,319.2,310,311,-0.64,59580
SBL,7/29/2022,317,317,308,315,1.29,16584
SBL,7/31/2022,317,333,316.2,333,5.71,59013
SBL,8/1/2022,339,344.8,333,335.5,0.75,112321
SBL,8/2/2022,336,341,331.1,335,-0.15,34819
SBL,8/3/2022,341.7,348,337.3,338.1,0.93,90162
SBL,8/4/2022,344,344,327,327,-3.28,61343
SBL,8/5/2022,327.7,332.9,319.1,320,-2.14,31933
SBL,8/7/2022,318.1,325.5,317,318,-0.63,38474
SBL,8/8/2022,324,324,317,317,-0.31,24423
SBL,8/9/2022,317,319,312,312.6,-1.39,32951
SBL,8/10/2022,316.9,316.9,308.4,308.4,-1.34,27991
SBL,8/11/2022,310,311.5,305.7,306,-0.78,35449
SBL,8/14/2022,305,311,303.6,304,-0.65,23714
SBL,8/15/2022,304.1,310,304.1,309.5,1.81,19155
SBL,8/16/2022,315,321.9,310,310,0.16,34069
SBL,8/17/2022,310,313,308,310.9,0.29,15042
SBL,8/18/2022,308,314,308,313.9,0.96,20949
SBL,8/21/2022,310.8,318,310.8,314.5,0.19,31362
SBL,8/22/2022,318,318,310,314.5,0,25229
SBL,8/23/2022,319.9,319.9,313,313.8,-0.22,30406
SBL,8/24/2022,317,320,314,316.4,0.83,31119
SBL,8/25/2022,318,318.8,314,314,-0.76,17316
SBL,8/26/2022,318,318,309,313.9,-0.03,9821
SBL,8/28/2022,309,311.9,306.2,307.5,-2.04,34529
SBL,8/29/2022,307,309.9,302.5,309,0.49,30416
SBL,8/30/2022,314,314.9,308,309.9,0.29,10439
SBL,8/31/2022,309,309,304,306,-1.26,19550
SBL,9/1/2022,308,308,301,305,-0.33,10423
SBL,9/2/2022,305,306.9,302,303,-0.66,8095
SBL,9/4/2022,300,311,300,305,0.66,12502
SBL,9/5/2022,306.9,308,303.5,304.8,-0.07,28283
SBL,9/6/2022,304,306,301.1,302.1,-0.89,20720
SBL,9/7/2022,304,308,300,302.9,0.26,40668
SBL,9/8/2022,304,304,299,300,-0.96,21601
SBL,9/11/2022,301,304,298,299,-0.33,29688
SBL,9/12/2022,300,300,296,297,-0.67,17417
SBL,9/13/2022,302,304.8,298.2,302.9,1.99,30382
SBL,9/14/2022,308.7,309.9,300,307.9,1.65,37309
SBL,9/15/2022,308,308,300,302.4,-1.79,30099
SBL,9/16/2022,300,301,296,300,-0.79,18589
SBL,9/18/2022,300.5,300.5,295,296.2,-1.27,98169
SBL,9/20/2022,296,296.8,289.1,289.5,-2.26,45540
SBL,9/21/2022,290,292,286,291,0.52,19076
SBL,9/22/2022,295.8,295.8,290,292,0.34,14458
SBL,9/25/2022,295,295,288,288.4,-1.23,23090
SBL,9/27/2022,292,295,288.1,292,1.25,10062
SBL,9/28/2022,297.7,298,293.2,293.5,0.51,10620
