Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NBL,2/28/2023,268,270,265.6,266.5,-0.56,21270
NBL,3/1/2023,267,269,262.5,262.6,-1.46,45356
NBL,3/2/2023,263,264,260,260.5,-0.8,54841
NBL,3/5/2023,265,265,258,259.6,-0.35,39021
NBL,3/7/2023,263.9,266,261,265,2.08,43091
NBL,3/9/2023,268,273,267.1,273,3.02,46992
NBL,3/12/2023,273,275,264,266,-2.56,54867
NBL,3/13/2023,266,267,262,262,-1.5,27498
NBL,3/14/2023,266,266,262.1,265.4,1.3,22913
NBL,3/15/2023,266,266,261.7,263,-0.9,24921
NBL,3/16/2023,266,266,260.2,263.5,0.19,31805
NBL,3/19/2023,261,264.1,260,261.9,-0.61,26915
NBL,3/20/2023,265,265,260.7,265,1.18,28380
NBL,3/22/2023,265,266,260,261,-1.51,24406
NBL,3/23/2023,258.3,264,258,260,-0.38,37870
NBL,3/26/2023,264,264,256.5,257,-1.15,42724
NBL,3/27/2023,259,259,252.8,258.5,0.58,76860
NBL,3/28/2023,263,263,255,259.9,0.54,28112
NBL,3/29/2023,257,258.9,255,256.9,-1.15,24150
NBL,3/30/2023,256,260,256,257.3,0.16,21837
NBL,4/2/2023,257.3,259,253.5,255,-0.89,26755
NBL,4/3/2023,255,255,251.2,252,-1.18,22669
NBL,4/4/2023,252,254.1,250.6,251,-0.4,38488
NBL,4/5/2023,254.9,266,250.1,259.9,3.55,50698
NBL,4/6/2023,263,263,253.3,254,-2.27,37955
NBL,4/9/2023,255,255,250,250.6,-1.34,24651
NBL,4/10/2023,253,254,250.3,251.9,0.52,18049
NBL,4/11/2023,255,260.1,252,255,1.23,21522
NBL,4/12/2023,255.6,269,255.6,267,4.71,45942
NBL,4/13/2023,269,270,260,260.8,-2.32,18944
NBL,4/16/2023,261,265,256.6,259,-0.69,19141
NBL,4/17/2023,260,261.9,254,255,-1.54,24424
NBL,4/18/2023,259.9,259.9,252,254.5,-0.2,11416
NBL,4/19/2023,257,257,253,256.5,0.79,23342
NBL,4/20/2023,257,257,252.5,252.5,-1.56,28967
NBL,4/23/2023,252,253,247,250.2,-0.91,33988
NBL,4/24/2023,252,253,249,251,0.32,29713
