Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SCB,6/3/2022,428.2,428.2,413.2,416,-0.93,8143
SCB,6/6/2022,424.3,424.3,407,412,-0.96,4636
SCB,6/7/2022,412,412,400.2,401,-2.67,12264
SCB,6/8/2022,409,411,400,405,1,15338
SCB,6/9/2022,413.1,413.1,400.1,400.4,-1.14,15425
SCB,6/10/2022,398,403,397,397,-0.85,12045
SCB,6/13/2022,397,404,395,399,0.5,12312
SCB,6/14/2022,399,399.9,395,397,-0.5,7612
SCB,6/15/2022,400,400,391,391,-1.51,9554
SCB,6/16/2022,384,397.9,384,390,-0.26,8581
SCB,6/17/2022,393,397,390,390,0,4993
SCB,6/19/2022,385.2,392.9,385,390,0,5310
SCB,6/20/2022,384,390,382.2,385.5,-1.15,14718
SCB,6/21/2022,385,400,385,390,1.17,7918
SCB,6/22/2022,387,392,385,391,0.26,6980
SCB,6/23/2022,398.8,398.8,382.1,383.1,-2.02,21789
SCB,6/24/2022,390,390,380,388.8,1.49,6468
SCB,6/26/2022,396,405,390.5,404.9,4.14,13696
SCB,6/27/2022,412,419,392.1,401,-0.96,11471
SCB,6/28/2022,401,404,396.6,401,0,5094
SCB,6/29/2022,409,409,397.2,404,0.75,6598
SCB,6/30/2022,411.9,411.9,403,409,1.24,11914
SCB,7/1/2022,417,417,389.5,389.5,-4.77,11396
SCB,7/3/2022,397,406.8,381.8,403.5,3.59,19508
SCB,7/4/2022,408,415,403.8,409.9,1.59,15449
SCB,7/5/2022,401.8,414,394.1,400,-2.42,15039
SCB,7/6/2022,403,404,396,401,0.25,15234
SCB,7/7/2022,400,403,398,400,-0.25,14587
SCB,7/8/2022,397,399,387,395,-1.25,14858
SCB,7/11/2022,396,396,379.6,387.5,-1.9,35074
SCB,7/12/2022,387.5,395,375,384,-0.9,19747
SCB,7/13/2022,391,397,382.2,394,2.6,6192
SCB,7/14/2022,401.8,401.8,390,391.6,-0.61,158671
SCB,7/15/2022,398.9,400,395,396.3,1.2,5051
SCB,7/17/2022,390,400,387.1,394.9,-0.35,20704
SCB,7/18/2022,394,398,393,396.2,0.33,52068
SCB,7/19/2022,397,403.7,397,400,0.96,13947
SCB,7/20/2022,394.6,406.7,394.6,402,0.5,112934
SCB,7/21/2022,400,405.9,394,402.5,0.12,6326
SCB,7/22/2022,399,400,387.1,398,-1.12,4047
SCB,7/24/2022,398,409,391,409,2.76,23868
SCB,7/25/2022,411,425,411,425,3.91,34126
SCB,7/26/2022,427.9,427.9,411,415,-2.35,35955
SCB,7/27/2022,423,433,418,433,4.34,55196
SCB,7/28/2022,441,462.9,430,462.9,6.91,59744
SCB,7/29/2022,469,470,450,465,0.45,36593
SCB,7/31/2022,470,510,455,510,9.68,44052
SCB,8/1/2022,512,512,483,486,-4.71,67005
SCB,8/2/2022,487,487.9,468.3,474.6,-2.35,40106
SCB,8/3/2022,476,480.9,456,456,-3.92,39894
SCB,8/4/2022,448,468,440,451,-1.1,38694
SCB,8/5/2022,445,452.9,441,445,-1.33,7440
SCB,8/7/2022,445,453,445,453,1.8,18032
SCB,8/8/2022,461.9,461.9,442,444.1,-1.96,20624
SCB,8/9/2022,437.3,451.9,432,436,-1.82,12817
SCB,8/10/2022,440,440,429,429,-1.61,16773
SCB,8/11/2022,425,437,425,430,0.23,11210
SCB,8/14/2022,421.4,438.6,421.4,424,-1.4,14531
SCB,8/15/2022,424,457.7,422,451,6.37,17285
SCB,8/16/2022,442,460,434,439.1,-2.64,17620
SCB,8/17/2022,443,443,426.3,430,-2.07,13134
SCB,8/18/2022,430,444.6,427.4,441,2.56,12890
SCB,8/21/2022,445,449.8,437.3,437.3,-0.84,7374
SCB,8/22/2022,431.1,440,431,440,0.62,2924
SCB,8/23/2022,438,442,425,438.9,-0.25,15308
SCB,8/24/2022,440,440,430.6,435,-0.89,5589
SCB,8/25/2022,435,440,431,432,-0.69,5833
SCB,8/26/2022,438,438,424.9,425.6,-1.48,10140
SCB,8/28/2022,420.1,427,420,425,-0.14,10563
SCB,8/29/2022,421.5,427.5,421,421,-0.94,11699
SCB,8/30/2022,422,430,421.3,421.4,0.1,8802
SCB,8/31/2022,426,427,419,422.8,0.33,5671
SCB,9/1/2022,415.2,421,415.2,419,-0.9,5639
SCB,9/2/2022,420,420,412,419,0,3892
SCB,9/4/2022,419.1,425,415.2,422,0.72,9286
SCB,9/5/2022,420,422,416.1,417,-1.18,3885
SCB,9/6/2022,420,424.9,413,413.1,-0.94,8859
SCB,9/7/2022,410,415,406.5,410,-0.75,3907
SCB,9/8/2022,410.1,415,405.1,408.1,-0.46,10559
SCB,9/11/2022,407,415,407,411,0.71,3473
SCB,9/12/2022,411,411.9,407,411,0,2463
SCB,9/13/2022,414,420,413,417.8,1.65,4190
SCB,9/14/2022,417.8,423.8,412,423.8,1.44,8995
SCB,9/15/2022,424,428,405,409.5,-3.37,13470
SCB,9/16/2022,402.4,410,402,410,0.12,4676
SCB,9/18/2022,402,410,397.1,399.8,-2.49,24569
